City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
2094342,Kavieng,5,PG,1586059827,74,-2.57,150.8,301.45,2.56
5924351,Clyde River,1,CA,1586059827,77,70.47,-68.59,258.15,11.8
1735106,George Town,20,MY,1586059630,70,5.41,100.34,305.15,1.5
2112802,Hasaki,75,JP,1586059827,66,35.73,140.83,285.37,7.7
1802204,Luancheng,100,CN,1586059827,30,37.88,114.65,287.15,1
3652764,Puerto Ayora,10,EC,1586059827,87,-0.74,-90.35,299.26,1.15
126972,Sarab,0,IR,1586059828,52,38.61,44.99,280.36,0.26
1015776,Bredasdorp,98,ZA,1586059828,93,-34.53,20.04,285.15,2.1
6170031,Tuktoyaktuk,5,CA,1586059828,72,69.45,-133.04,262.15,4.6
336526,Gīdolē,25,ET,1586059828,56,5.65,37.37,286.39,0.93
1651810,Airai,11,TL,1586059828,45,-8.93,125.41,297.01,1.02
3369157,Cape Town,75,ZA,1586059232,100,-33.93,18.42,288.71,3.1
4031574,Provideniya,100,RU,1586059828,94,64.38,-173.3,263.71,9.29
964420,Port Elizabeth,90,ZA,1586059829,93,-33.92,25.57,291.15,8.2
147774,Khojaly District,3,AZ,1586059829,56,39.91,46.79,279.83,1.56
6201424,Mataura,97,NZ,1586059829,55,-46.19,168.86,293.71,2.24
4031637,Lavrentiya,100,RU,1586059829,95,65.58,-171,263.02,5.84
3833367,Ushuaia,20,AR,1586059829,80,-54.8,-68.3,277.15,9.3
1106677,Bambous Virieux,40,MU,1586059829,78,-20.34,57.76,299.82,1.5
3466704,Castro,0,BR,1586059829,61,-24.79,-50.01,285.71,1.6
3471451,Arraial do Cabo,13,BR,1586059830,71,-22.97,-42.03,297.4,5.08
3932145,Pisco,1,PE,1586059830,83,-13.7,-76.22,295.15,1.5
3423146,Ilulissat,0,GL,1586059830,51,69.22,-51.1,261.15,13.9
2075265,Busselton,100,AU,1586059830,37,-33.65,115.33,294.82,4.51
3899695,Ancud,90,CL,1586059830,93,-41.87,-73.82,282.15,3.1
1267716,Karmāla,41,IN,1586059830,19,18.42,75.2,305.23,2.34
1006984,East London,0,ZA,1586059830,68,-33.02,27.91,293.15,3.1
1633419,Padang,100,ID,1586059831,79,-0.95,100.35,299.98,2.28
1622318,Waingapu,2,ID,1586059831,63,-9.66,120.26,303.65,1.58
2015217,Tokur,83,RU,1586059831,75,53.13,132.9,271.48,1.36
4020109,Atuona,18,PF,1586059831,74,-9.8,-139.03,300.99,6
3838233,Salta,90,AR,1586059552,87,-24.79,-65.41,290.15,2.6
105298,Jizan,20,SA,1586059831,74,17.33,42.67,301.15,1.12
5746545,Portland,90,US,1586059818,87,45.52,-122.68,281.15,0.95
3471522,Arinos,98,BR,1586059831,78,-15.92,-46.11,295.88,0.63
933995,Souillac,40,MU,1586059832,78,-20.52,57.52,299.82,1.5
